"2024-12-05", "alle", "Thema siehe Pad", "`Anmeldung <https://trolug.pads.ccc.de/2024-12>`__"
"2024-11-07", "alle", "Thema siehe Pad", "`Anmeldung <https://trolug.pads.ccc.de/2024-11>`__"
"2024-10-10", "alle", "Thema siehe Pad", "`Anmeldung <https://trolug.pads.ccc.de/2024-10>`__"
"2024-09-05", "alle", "Thema siehe Pad", "`Anmeldung <https://trolug.pads.ccc.de/2024-09>`__"
"2024-08-01", "alle", "FrOSCon Planung", "`Anmeldung <https://trolug.pads.ccc.de/2024-08>`__"
"2024-07-04", "alle", "Heimautomatisierung", "`Anmeldung <https://trolug.pads.ccc.de/2024-07>`__"
"2024-06-06", "alle", "Mastodon Mikroblogging-Dienst", "`Anmeldung <https://trolug.pads.ccc.de/2024-06>`__"
"2024-05-02", "Harald Weidner", "Glasfaser", "`Anmeldung <https://trolug.pads.ccc.de/2024-05>`__"
"2024-04-04", "alle", "Rechner warten mit Saltstack", "`Anmeldung <https://trolug.pads.ccc.de/2024-04>`__"
"2024-03-07", "alle", "Tricks rund um QR-Codes", "`Anmeldung <https://trolug.pads.ccc.de/2024-03>`__"
"2024-02-01", "alle", "XMPP Advanced", "`Anmeldung <https://trolug.pads.ccc.de/2024-02>`__"
"2024-01-04", "alle", "Jahresrückblick/Jahresausblick", "`Anmeldung <https://trolug.pads.ccc.de/2024-01>`__"
